Filename,Brand,Age,Step Therapy Requirements Documented in Policy,Number of Steps through Brands,Number of Steps through Generic,Step through-Phototherapy,TB Test required,Quantity Limits,Specialist Types,Initial Authorization Duration(in-months),Reauthorization Duration(in-months),Reauthorization Required,Reauthorization Requirements Documented in Policy,Access Score
330109-4880941.pdf,TREMFYA,>=18,NA,1,No,Yes,Yes,No,NA,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,36
148593-4960549.pdf,STELARA,>=18,NA,No,No,No,No,Quantity Limits apply,NA,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,48
305252-5002815.pdf,TREMFYA,>=18,NA,No,No,Yes,Yes,No,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,38
176207-4867884.pdf,TREMFYA,>=18,NA,No,No,Yes,No,No,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,42
324603-4962713.pdf,STELARA,>=18,NA,No,No,Yes,No,No,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,42
378692-5003182.pdf,STELARA,>=18,NA,1,No,Yes,Yes,No,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,33
378792-5004240.pdf,TREMFYA,>=18,NA,1,No,Yes,Yes,No,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,33
250819-3621812.pdf,STELARA,>=18,NA,1,No,Yes,Yes,Quantity Limits apply,NA,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,34
250819-3621812.pdf,TREMFYA,>=18,NA,1,No,No,Yes,Quantity Limits apply,NA,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,40
296961-4569911.pdf,STELARA,>=18,NA,1,No,No,No,No,NA,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,45
296961-4569911.pdf,TREMFYA,>=18,NA,1,No,No,No,No,NA,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,45
337814-4985370.pdf,STELARA,FDA labelled age,Step therapy criteria present,1,No,No,No,No,NA,Unspecified,Unspecified,Yes,NA,45
337814-4985370.pdf,TREMFYA,FDA labelled age,Step therapy criteria present,1,No,No,No,No,NA,Unspecified,Unspecified,Yes,NA,45
364054-4720790.pdf,STELARA,>=18,NA,No,No,No,No,No,Dermatologist,Unspecified,Unspecified,Yes,NA,46
364054-4720790.pdf,TREMFYA,>=18,NA,No,No,No,No,No,Dermatologist,Unspecified,Unspecified,Yes,NA,46
56061-4538520.pdf,STELARA,>=18,NA,No,No,Yes,No,Quantity Limits apply,NA,Unspecified,Unspecified,Yes,NA,43
361486-4654549.pdf,TREMFYA,>=18,NA,No,No,Yes,Yes,No,NA,Unspecified,Unspecified,Yes,NA,42
363337-5004251.pdf,STELARA,>=18,NA,No,No,No,No,No,NA,Unspecified,Unspecified,Yes,NA,50
270849-4873664.pdf,TREMFYA,>=18,Step therapy criteria present,No,No,No,No,No,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,46
258503-4913513.pdf,TREMFYA,>=18,NA,No,No,Yes,No,No,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,42
58918-4969735.pdf,STELARA,>=18,NA,No,No,Yes,No,No,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,42
258492-5030356.pdf,STELARA,>=18,NA,1,No,No,No,No,NA,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,45
379899-5030421.pdf,STELARA,>=18,NA,1,No,Yes,No,No,Dermatologist,Unspecified,Unspecified,Yes,NA,36
362198-4805629.pdf,STELARA,>=18,Step therapy criteria present,1,No,Yes,Yes,Quantity Limits apply,Dermatologist,Unspecified,Unspecified,Yes,NA,31
333345-4841422.pdf,TREMFYA,>=18,Step therapy criteria present,1,No,No,No,No,Dermatologist,Unspecified,Unspecified,Yes,NA,42
372505-5024739.pdf,STELARA,>=18,NA,No,No,Yes,No,No,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,42
372229-5027532.pdf,TREMFYA,>=18,NA,No,No,Yes,No,Quantity Limits apply,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,40
372479-5037971.pdf,STELARA,>=18,NA,No,No,Yes,No,No,Dermatologist,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,42
84074-5053811.pdf,STELARA,>=18,NA,No,No,No,No,No,NA,Unspecified,Unspecified,Yes,Documentation of positive clinical response to therapy,50
